Time [s],input,useful,fir_out,iir_out
2.069999999999999896e-01,8.213662640073409182e-01,3.775536132772110420e-01,-1.498209315430045541e+00,4.048654338234607408e-01
2.079999999999999905e-01,2.221944353831852570e-01,8.239438074128649925e-01,-1.106562522335241994e+00,5.545002752514703870e-01
2.089999999999999913e-01,2.002906370266000824e+00,1.329342273185660783e+00,-6.658330836448368428e-01,7.629808352166628227e-01
2.099999999999999922e-01,1.498018132716136819e+00,1.616796077701758261e+00,-4.521791124591177935e-01,1.236905536722458177e+00
2.109999999999999931e-01,9.547570029771975664e-01,1.509685616770081618e+00,-5.631579071681349635e-01,1.316565409467603365e+00
2.119999999999999940e-01,2.005038896680862326e+00,1.028200429655087289e+00,-8.785318062258581362e-01,1.047477497976496696e+00
2.129999999999999949e-01,-1.362211805119465380e-01,3.797368028694312336e-01,-1.164160934760806843e+00,7.327145845971205773e-01
2.139999999999999958e-01,-6.063170568394934401e-01,-1.516252626244936619e-01,-1.212139712853980367e+00,-1.321107437493480030e-01
2.149999999999999967e-01,4.594634566923191943e-01,-3.567225670316593877e-01,-9.355888196643838972e-01,-7.891100258051200189e-01
2.159999999999999976e-01,-8.474229536705146781e-01,-2.118943383069029074e-01,-3.975310314815528878e-01,-7.570663583206155289e-01
2.169999999999999984e-01,-2.907431574554824039e-01,1.112924014860816185e-01,2.176108088093139659e-01,-7.841510148829944349e-01
2.179999999999999993e-01,7.153981152387776099e-01,3.423396606865521941e-01,6.876733852947541914e-01,-5.948255311412311563e-01
2.190000000000000002e-01,-6.611736678255391020e-01,2.618217839450152629e-01,8.722231322207625315e-01,-2.546791811351672985e-01
2.200000000000000011e-01,-5.607047231279657096e-01,-1.763355756877370006e-01,7.918630294129863634e-01,-4.839437719369042989e-01
2.210000000000000020e-01,-3.236313427795944886e-01,-8.167018909164028839e-01,5.981519609958401151e-01,-7.843212697859736071e-01
